stamp, T00, T01, T02, T03, T10, T11, T12, T13, T20, T21, T22, T23
1714575189.180060148, -0.081, -0.987, 0.137, -124.207, 0.995, -0.089, -0.053, 40.405, 0.064, 0.132, 0.989, 13.440
1714575190.179979801, -0.109, -0.980, 0.165, -123.887, 0.990, -0.122, -0.068, 40.515, 0.087, 0.156, 0.984, 13.380
1714575191.179899216, -0.275, -0.939, 0.205, -123.817, 0.956, -0.290, -0.050, 40.931, 0.106, 0.182, 0.978, 13.343
1714575192.279810429, -0.046, -0.988, 0.148, -123.470, 0.997, -0.055, -0.054, 41.095, 0.062, 0.145, 0.987, 13.279
1714575193.279730082, 0.308, -0.942, 0.132, -123.467, 0.951, 0.307, -0.028, 41.100, -0.014, 0.134, 0.991, 13.279
1714575194.279649496, 0.275, -0.951, 0.142, -123.424, 0.961, 0.265, -0.081, 41.242, 0.039, 0.159, 0.987, 13.263
1714575195.179576874, 0.300, -0.942, 0.153, -123.421, 0.954, 0.293, -0.065, 41.245, 0.016, 0.166, 0.986, 13.262
1714575196.079504490, 0.309, -0.940, 0.146, -123.687, 0.951, 0.299, -0.084, 41.201, 0.035, 0.164, 0.986, 13.294
1714575197.079423904, 0.200, -0.963, 0.182, -123.680, 0.979, 0.190, -0.071, 41.204, 0.033, 0.193, 0.981, 13.293
1714575198.079343319, 0.075, -0.975, 0.208, -123.677, 0.997, 0.074, -0.016, 41.217, 0.001, 0.209, 0.978, 13.292
1714575199.079262972, 0.051, -0.982, 0.184, -123.729, 0.998, 0.042, -0.051, 41.526, 0.043, 0.187, 0.982, 13.323
1714575200.079182386, -0.119, -0.978, 0.173, -123.823, 0.991, -0.128, -0.037, 41.481, 0.058, 0.167, 0.984, 13.348
1714575201.179093599, -0.104, -0.979, 0.173, -123.828, 0.993, -0.111, -0.031, 41.602, 0.049, 0.169, 0.984, 13.374
1714575202.279005051, -0.063, -0.989, 0.135, -123.745, 0.996, -0.071, -0.057, 41.084, 0.066, 0.131, 0.989, 13.341
1714575203.178932667, -0.060, -0.986, 0.157, -123.664, 0.995, -0.072, -0.068, 41.032, 0.079, 0.152, 0.985, 13.309
1714575204.178852081, -0.049, -0.989, 0.140, -123.668, 0.998, -0.052, -0.021, 41.043, 0.029, 0.139, 0.990, 13.309
1714575205.178771496, -0.091, -0.973, 0.212, -123.906, 0.994, -0.101, -0.039, 41.172, 0.059, 0.207, 0.977, 13.355
1714575206.178690910, -0.035, -0.972, 0.231, -123.916, 0.996, -0.052, -0.067, 40.764, 0.078, 0.228, 0.971, 13.342
1714575207.178610563, 0.023, -0.984, 0.174, -123.851, 0.997, 0.011, -0.071, 40.494, 0.068, 0.175, 0.982, 13.315
1714575208.178529978, -0.010, -0.990, 0.143, -123.859, 0.999, -0.014, -0.030, 40.503, 0.032, 0.143, 0.989, 13.315
1714575209.078457355, -0.053, -0.990, 0.127, -123.650, 0.997, -0.060, -0.054, 40.650, 0.061, 0.124, 0.990, 13.293
1714575210.078377008, -0.048, -0.984, 0.170, -123.663, 0.995, -0.063, -0.083, 40.584, 0.092, 0.165, 0.982, 13.281
1714575211.178288221, -0.088, -0.983, 0.162, -123.666, 0.995, -0.094, -0.032, 40.595, 0.047, 0.158, 0.986, 13.281
1714575211.978223801, -0.136, -0.974, 0.181, -123.680, 0.988, -0.146, -0.047, 40.596, 0.072, 0.173, 0.982, 13.287
1714575213.078135252, -0.136, -0.970, 0.202, -123.676, 0.988, -0.149, -0.047, 40.596, 0.076, 0.193, 0.978, 13.286
1714575214.078054667, -0.133, -0.972, 0.193, -123.678, 0.988, -0.146, -0.053, 40.594, 0.080, 0.183, 0.980, 13.286
1714575215.277958155, -0.172, -0.973, 0.151, -123.704, 0.984, -0.178, -0.027, 40.772, 0.053, 0.144, 0.988, 13.229
