stamp, T00, T01, T02, T03, T10, T11, T12, T13, T20, T21, T22, T23
1727351377.703192711, 0.817, -0.532, 0.225, -80.271, 0.577, 0.767, -0.280, -60.726, -0.023, 0.359, 0.933, -6.760
1727351378.703090906, 0.896, -0.394, 0.204, -80.284, 0.441, 0.840, -0.315, -60.824, -0.047, 0.372, 0.927, -6.788
1727351379.702579021, 0.912, -0.361, 0.195, -80.303, 0.407, 0.855, -0.320, -60.884, -0.051, 0.371, 0.927, -6.795
1727351380.703340769, 0.908, -0.358, 0.218, -80.311, 0.413, 0.854, -0.317, -60.955, -0.073, 0.378, 0.923, -6.796
1727351381.703260422, 0.902, -0.349, 0.254, -80.311, 0.423, 0.833, -0.358, -61.032, -0.087, 0.430, 0.899, -6.813
1727351382.702708483, 0.896, -0.357, 0.265, -80.308, 0.436, 0.823, -0.365, -61.018, -0.087, 0.442, 0.893, -6.829
1727351383.703764677, 0.885, -0.431, 0.177, -80.150, 0.466, 0.832, -0.300, -60.565, -0.018, 0.348, 0.937, -6.755
1727351384.703193426, 0.877, -0.458, 0.144, -80.060, 0.480, 0.831, -0.281, -60.318, 0.009, 0.316, 0.949, -6.721
1727351385.702632904, 0.913, -0.399, 0.086, -79.977, 0.407, 0.876, -0.258, -60.015, 0.028, 0.270, 0.962, -6.683
1727351386.703332901, 0.997, -0.015, 0.070, -80.082, 0.036, 0.951, -0.307, -60.222, -0.062, 0.308, 0.949, -6.712
1727351387.704167128, 0.997, 0.052, 0.062, -80.075, -0.027, 0.935, -0.354, -60.269, -0.076, 0.352, 0.933, -6.714
1727351388.705642700, 0.985, 0.152, 0.075, -80.299, -0.121, 0.941, -0.316, -60.541, -0.119, 0.303, 0.946, -6.740
1727351389.706885576, 0.962, 0.266, 0.067, -80.291, -0.239, 0.933, -0.269, -60.562, -0.134, 0.242, 0.961, -6.758
1727351390.705317020, 0.855, 0.515, 0.053, -80.278, -0.484, 0.832, -0.271, -60.634, -0.184, 0.206, 0.961, -6.782
1727351391.706029654, 0.845, 0.534, 0.027, -80.193, -0.509, 0.820, -0.262, -60.617, -0.162, 0.208, 0.965, -6.777
1727351392.705492973, 0.845, 0.534, 0.027, -80.194, -0.509, 0.820, -0.262, -60.618, -0.162, 0.208, 0.965, -6.777
1727351393.805219889, 0.846, 0.532, -0.024, -80.216, -0.517, 0.810, -0.276, -60.614, -0.127, 0.246, 0.961, -6.772
1727351394.705168486, 0.840, 0.529, 0.118, -80.145, -0.495, 0.838, -0.229, -60.597, -0.220, 0.134, 0.966, -6.793
1727351395.704839230, 0.839, 0.531, 0.124, -80.137, -0.497, 0.838, -0.227, -60.587, -0.224, 0.129, 0.966, -6.793
1727351396.705248117, 0.838, 0.531, 0.125, -80.150, -0.497, 0.838, -0.227, -60.604, -0.225, 0.129, 0.966, -6.790
